market,tea_type,response_no,verbatim,theme,sentiment,persona
CA,Other cold brew tea,283,I don't think it's actually that healthy,Health perception,Negative,Curious Explorer
CA,"Benefit / functional tea (sleep, detox, immunity)",284,I'm never sure how long to brew it,Brewing complexity,Negative,Wellness Seeker
US,"Origin black tea (e.g. Assam, Darjeeling)",285,I stick to what I know,Habit / preference,Negative,Traditional Drinker
UK,Chamomile tea,286,It's too expensive for what it is,Price / value,Negative,Curious Explorer
UK,Other cold brew tea,287,Not stocked where I shop,Availability,Negative,Traditional Drinker
US,Rooibos / red tea,288,Never been introduced to it properly,Unfamiliarity,Neutral,Curious Explorer
UK,Cold brew green tea,289,Too strong a flavour for my liking,Taste / flavour,Negative,Functional Benefit Seeker
US,"Fruit tea (e.g. berry, peach)",290,I've never really tried it,Unfamiliarity,Neutral,Traditional Drinker
CA,Regular / everyday black tea,291,I don't think it's actually that healthy,Health perception,Negative,Convenience Buyer
CA,Chai tea,292,I don't like the grassy flavour,Taste / flavour,Negative,Wellness Seeker
US,Instant tea powder,293,I always get the brewing wrong,Brewing complexity,Negative,Traditional Drinker
UK,Other tea (e.g. white tea),294,I drink it for wellness reasons,Health perception,Neutral,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",295,Not convinced by the health claims,Health perception,Neutral,Curious Explorer
CA,Peppermint tea,296,Too fiddly compared to a teabag,Brewing complexity,Negative,Traditional Drinker
UK,Flavoured black tea (e.g. Earl Grey),297,It feels gritty,Texture / mouthfeel,Negative,Wellness Seeker
UK,Green tea (pure),298,Not familiar with how to drink it,Unfamiliarity,Neutral,Traditional Drinker
CA,Other herbal tea,299,I just prefer my usual tea,Habit / preference,Neutral,Wellness Seeker
UK,Other herbal tea,300,Don't want to pay more for it,Price / value,Negative,Curious Explorer
UK,Chai tea,301,Not sure of the right water temperature,Brewing complexity,Negative,Wellness Seeker
CA,Rooibos / red tea,302,Don't know much about this type,Unfamiliarity,Negative,Price-Conscious Rejecter
US,"Fruit tea (e.g. berry, peach)",303,Never been introduced to it properly,Unfamiliarity,Negative,Traditional Drinker
US,Green tea (pure),304,Not worth the extra cost,Price / value,Neutral,Traditional Drinker
CA,Regular / everyday black tea,305,Drinking hot tea is my habit,Habit / preference,Negative,Wellness Seeker
UK,Lemon / ginger tea,306,Caffeine keeps me awake at night,Caffeine concerns,Positive,Curious Explorer
UK,"Origin black tea (e.g. Assam, Darjeeling)",307,Want something caffeine-free,Caffeine concerns,Neutral,Wellness Seeker
CA,Regular / everyday black tea,308,It's too expensive for what it is,Price / value,Negative,Price-Conscious Rejecter
US,Cold brew black tea,309,The bubbles put me off,Texture / mouthfeel,Negative,Curious Explorer
US,Chamomile tea,310,Not part of my routine,Habit / preference,Negative,Functional Benefit Seeker
CA,Chamomile tea,311,Too much caffeine for the evening,Caffeine concerns,Negative,Functional Benefit Seeker
US,Decaffeinated black tea,312,Not part of my routine,Habit / preference,Negative,Price-Conscious Rejecter
CA,Instant tea powder,313,Not part of my routine,Habit / preference,Negative,Curious Explorer
UK,Cold brew fruit and herbal tea,314,Hard to find in my local shop,Availability,Neutral,Traditional Drinker
US,"Fruit tea (e.g. berry, peach)",315,Not convinced by the health claims,Health perception,Neutral,Functional Benefit Seeker
US,Regular / everyday black tea,316,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
CA,Instant tea powder,317,Too watery for me,Texture / mouthfeel,Negative,Convenience Buyer
CA,"Fruit tea (e.g. berry, peach)",318,I find it bland and watery,Taste / flavour,Negative,Wellness Seeker
CA,Peppermint tea,319,Not worth the extra cost,Price / value,Negative,Wellness Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",320,Hard to find in my local shop,Availability,Neutral,Curious Explorer
US,English Breakfast / extra-strong black tea,321,Just doesn't taste nice,Taste / flavour,Neutral,Functional Benefit Seeker
US,Cold brew fruit and herbal tea,322,Want something caffeine-free,Caffeine concerns,Negative,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",323,Je n'aime pas le goût,Taste / flavour,Negative,Convenience Buyer
UK,Chamomile tea,324,Looking for healthier alternatives,Health perception,Negative,Wellness Seeker
US,"Origin black tea (e.g. Assam, Darjeeling)",325,Drinking hot tea is my habit,Habit / preference,Negative,Functional Benefit Seeker
CA,Instant tea powder,326,I stick to what I know,Habit / preference,Negative,Price-Conscious Rejecter
CA,Chamomile tea,327,Caffeine keeps me awake at night,Caffeine concerns,Negative,Convenience Buyer
CA,Chai tea,328,Too much caffeine for the evening,Caffeine concerns,Negative,Curious Explorer
UK,Matcha tea,329,Too much effort to prepare properly,Brewing complexity,Negative,Convenience Buyer
US,Other tea (e.g. white tea),330,Hard to find in my local shop,Availability,Neutral,Functional Benefit Seeker
UK,Green tea decaffeinated,331,Just doesn't taste nice,Taste / flavour,Negative,Curious Explorer
UK,Flavoured black tea (e.g. Earl Grey),332,Don't know much about this type,Unfamiliarity,Negative,Functional Benefit Seeker
CA,Decaffeinated black tea,333,Je préfère le thé chaud,Habit / preference,Neutral,Convenience Buyer
US,Other herbal tea,334,I'm trying to cut down on caffeine,Caffeine concerns,Neutral,Functional Benefit Seeker
US,Other tea (e.g. white tea),335,I just prefer my usual tea,Habit / preference,Negative,Wellness Seeker
US,Decaffeinated black tea,336,I don't like the grassy flavour,Taste / flavour,Neutral,Functional Benefit Seeker
US,Bubble tea,337,I avoid caffeine for health reasons,Caffeine concerns,Negative,Price-Conscious Rejecter
CA,Peppermint tea,338,I stick to what I know,Habit / preference,Negative,Wellness Seeker
UK,English Breakfast / extra-strong black tea,339,Want something caffeine-free,Caffeine concerns,Negative,Traditional Drinker
US,Bubble tea,340,Don't know much about this type,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Peppermint tea,341,Too watery for me,Texture / mouthfeel,Negative,Traditional Drinker
CA,Other herbal tea,342,Caffeine keeps me awake at night,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Cold brew fruit and herbal tea,343,Too much effort to prepare properly,Brewing complexity,Neutral,Traditional Drinker
US,Other cold brew tea,344,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
US,Green tea (pure),345,Just doesn't taste nice,Taste / flavour,Negative,Wellness Seeker
CA,Cold brew black tea,346,I drink it for wellness reasons,Health perception,Positive,Traditional Drinker
CA,"Origin black tea (e.g. Assam, Darjeeling)",347,I don't like the grassy flavour,Taste / flavour,Negative,Wellness Seeker
CA,Green tea (pure),348,Too much effort to prepare properly,Brewing complexity,Negative,Wellness Seeker
UK,Peppermint tea,349,I wouldn't know where to start with it,Unfamiliarity,Neutral,Curious Explorer
US,English Breakfast / extra-strong black tea,350,Not sure of the right water temperature,Brewing complexity,Negative,Convenience Buyer
US,Green tea (pure),351,The aftertaste puts me off,Taste / flavour,Negative,Convenience Buyer
UK,Cold brew fruit and herbal tea,352,I'm never sure how long to brew it,Brewing complexity,Positive,Convenience Buyer
CA,Rooibos / red tea,353,Don't want to pay more for it,Price / value,Negative,Wellness Seeker
UK,Chai tea,354,I always get the brewing wrong,Brewing complexity,Positive,Wellness Seeker
CA,Instant tea powder,355,I don't like the texture,Texture / mouthfeel,Negative,Traditional Drinker
CA,Other cold brew tea,356,Don't want to pay more for it,Price / value,Negative,Convenience Buyer
CA,"Fruit tea (e.g. berry, peach)",357,I don't like the grassy flavour,Taste / flavour,Negative,Curious Explorer
UK,Other tea (e.g. white tea),358,I don't like the grassy flavour,Taste / flavour,Negative,Convenience Buyer
UK,Decaffeinated black tea,359,I don't think it's actually that healthy,Health perception,Negative,Traditional Drinker
CA,English Breakfast / extra-strong black tea,360,I'm never sure how long to brew it,Brewing complexity,Negative,Wellness Seeker
UK,Cold brew black tea,361,Never been introduced to it properly,Unfamiliarity,Neutral,Traditional Drinker
US,Rooibos / red tea,362,I drink it for wellness reasons,Health perception,Negative,Curious Explorer
UK,Other cold brew tea,363,Rarely see it on the shelf,Availability,Neutral,Convenience Buyer
US,Cold brew green tea,364,Never been introduced to it properly,Unfamiliarity,Negative,Functional Benefit Seeker
US,Cold brew green tea,365,Premium pricing puts me off,Price / value,Negative,Curious Explorer
US,Decaffeinated black tea,366,Too strong a flavour for my liking,Taste / flavour,Negative,Convenience Buyer
UK,Green tea decaffeinated,367,Already happy with my regular brew,Habit / preference,Negative,Functional Benefit Seeker
CA,Other cold brew tea,368,Not worth the extra cost,Price / value,Neutral,Price-Conscious Rejecter
CA,Peppermint tea,369,Flavour is too earthy,Taste / flavour,Neutral,Functional Benefit Seeker
US,Bubble tea,370,Too much effort to prepare properly,Brewing complexity,Neutral,Functional Benefit Seeker
US,Other tea (e.g. white tea),371,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
UK,Matcha tea,372,Don't want to pay more for it,Price / value,Negative,Curious Explorer
CA,Matcha tea,373,I don't like the texture,Texture / mouthfeel,Neutral,Functional Benefit Seeker
US,Chai tea,374,Never been introduced to it properly,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,English Breakfast / extra-strong black tea,375,Don't want to pay more for it,Price / value,Negative,Traditional Drinker
US,Regular / everyday black tea,376,I don't like the grassy flavour,Taste / flavour,Neutral,Price-Conscious Rejecter
UK,English Breakfast / extra-strong black tea,377,I've never really tried it,Unfamiliarity,Neutral,Functional Benefit Seeker
US,Matcha tea,378,Flavour is too earthy,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),379,Not worth the extra cost,Price / value,Negative,Curious Explorer
CA,Chamomile tea,380,I don't think it's actually that healthy,Health perception,Neutral,Convenience Buyer
US,"Benefit / functional tea (sleep, detox, immunity)",381,Can't get it easily,Availability,Negative,Convenience Buyer
US,"Benefit / functional tea (sleep, detox, immunity)",382,Too much effort to prepare properly,Brewing complexity,Neutral,Convenience Buyer
CA,Cold brew black tea,383,The aftertaste puts me off,Taste / flavour,Negative,Convenience Buyer
US,"Origin black tea (e.g. Assam, Darjeeling)",384,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
UK,Cold brew black tea,385,Too fiddly compared to a teabag,Brewing complexity,Neutral,Curious Explorer
UK,Regular / everyday black tea,386,The aftertaste puts me off,Taste / flavour,Negative,Wellness Seeker
UK,Green tea decaffeinated,387,Drinking hot tea is my habit,Habit / preference,Negative,Functional Benefit Seeker
UK,Other cold brew tea,388,I stick to what I know,Habit / preference,Neutral,Convenience Buyer
CA,Flavoured black tea (e.g. Earl Grey),389,Too watery for me,Texture / mouthfeel,Negative,Curious Explorer
CA,"Origin black tea (e.g. Assam, Darjeeling)",390,I wouldn't know where to start with it,Unfamiliarity,Negative,Functional Benefit Seeker
US,Other tea (e.g. white tea),391,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Wellness Seeker
US,Other tea (e.g. white tea),392,I've never really tried it,Unfamiliarity,Negative,Price-Conscious Rejecter
CA,Green tea (pure),393,Tastes medicinal and unpleasant,Taste / flavour,Negative,Convenience Buyer
UK,"Benefit / functional tea (sleep, detox, immunity)",394,I wouldn't know where to start with it,Unfamiliarity,Neutral,Convenience Buyer
CA,Peppermint tea,395,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Wellness Seeker
US,Instant tea powder,396,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Wellness Seeker
US,Green tea (pure),397,Not sure of the right water temperature,Brewing complexity,Neutral,Wellness Seeker
CA,Other cold brew tea,398,Je n'aime pas le goût,Taste / flavour,Positive,Convenience Buyer
UK,"Benefit / functional tea (sleep, detox, immunity)",399,Flavour is too earthy,Taste / flavour,Negative,Curious Explorer
CA,Bubble tea,400,Don't want to pay more for it,Price / value,Negative,Wellness Seeker
UK,English Breakfast / extra-strong black tea,401,Want something caffeine-free,Caffeine concerns,Negative,Curious Explorer
CA,Flavoured black tea (e.g. Earl Grey),402,I always get the brewing wrong,Brewing complexity,Neutral,Wellness Seeker
UK,Flavoured black tea (e.g. Earl Grey),403,Too strong a flavour for my liking,Taste / flavour,Negative,Wellness Seeker
UK,Decaffeinated black tea,404,Already happy with my regular brew,Habit / preference,Negative,Traditional Drinker
US,Matcha tea,405,Not sure of the right water temperature,Brewing complexity,Positive,Wellness Seeker
US,Instant tea powder,406,Not stocked where I shop,Availability,Negative,Functional Benefit Seeker
UK,Rooibos / red tea,407,Premium pricing puts me off,Price / value,Neutral,Wellness Seeker
CA,Matcha tea,408,Drinking hot tea is my habit,Habit / preference,Negative,Curious Explorer
UK,Peppermint tea,409,Too fiddly compared to a teabag,Brewing complexity,Neutral,Curious Explorer
CA,Decaffeinated black tea,410,C'est trop cher,Price / value,Negative,Wellness Seeker
CA,Other herbal tea,411,It's too expensive for what it is,Price / value,Negative,Price-Conscious Rejecter
CA,Green tea flavoured (e.g. lemon),412,I've never really tried it,Unfamiliarity,Negative,Convenience Buyer
US,Flavoured black tea (e.g. Earl Grey),413,The taste is too bitter for me,Taste / flavour,Negative,Convenience Buyer
CA,Regular / everyday black tea,414,Not stocked where I shop,Availability,Negative,Wellness Seeker
US,Other herbal tea,415,Hard to find in my local shop,Availability,Negative,Price-Conscious Rejecter
US,Chamomile tea,416,I find it bland and watery,Taste / flavour,Neutral,Curious Explorer
US,Chai tea,417,Not part of my routine,Habit / preference,Neutral,Functional Benefit Seeker
CA,Cold brew black tea,418,Je n'aime pas le goût,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Lemon / ginger tea,419,It feels gritty,Texture / mouthfeel,Negative,Traditional Drinker
UK,"Origin black tea (e.g. Assam, Darjeeling)",420,Don't know much about this type,Unfamiliarity,Negative,Functional Benefit Seeker
UK,Other cold brew tea,421,Not worth the extra cost,Price / value,Negative,Price-Conscious Rejecter
CA,Other cold brew tea,422,The taste is too bitter for me,Taste / flavour,Negative,Curious Explorer
CA,Chai tea,423,Cheaper options do the same job,Price / value,Neutral,Curious Explorer
US,Other tea (e.g. white tea),424,I wouldn't know where to start with it,Unfamiliarity,Negative,Convenience Buyer
US,English Breakfast / extra-strong black tea,425,I don't like the grassy flavour,Taste / flavour,Negative,Price-Conscious Rejecter
US,"Origin black tea (e.g. Assam, Darjeeling)",426,Already happy with my regular brew,Habit / preference,Negative,Curious Explorer
UK,"Fruit tea (e.g. berry, peach)",427,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
CA,English Breakfast / extra-strong black tea,428,Caffeine keeps me awake at night,Caffeine concerns,Negative,Functional Benefit Seeker
US,Other tea (e.g. white tea),429,Flavour is too earthy,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Regular / everyday black tea,430,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
US,Bubble tea,431,Don't know much about this type,Unfamiliarity,Negative,Convenience Buyer
UK,Cold brew fruit and herbal tea,432,I find it bland and watery,Taste / flavour,Negative,Functional Benefit Seeker
US,Lemon / ginger tea,433,I'm never sure how long to brew it,Brewing complexity,Negative,Traditional Drinker
UK,Chamomile tea,434,I'm never sure how long to brew it,Brewing complexity,Neutral,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",435,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Flavoured black tea (e.g. Earl Grey),436,Can't get it easily,Availability,Negative,Curious Explorer
US,Green tea (pure),437,Too fiddly compared to a teabag,Brewing complexity,Positive,Functional Benefit Seeker
US,Green tea decaffeinated,438,The taste is too bitter for me,Taste / flavour,Negative,Convenience Buyer
UK,Lemon / ginger tea,439,Just doesn't taste nice,Taste / flavour,Negative,Curious Explorer
US,Flavoured black tea (e.g. Earl Grey),440,Want something caffeine-free,Caffeine concerns,Negative,Convenience Buyer
UK,Green tea decaffeinated,441,It's too expensive for what it is,Price / value,Neutral,Curious Explorer
UK,English Breakfast / extra-strong black tea,442,Not sure of the right water temperature,Brewing complexity,Negative,Price-Conscious Rejecter
UK,Other tea (e.g. white tea),443,Rarely see it on the shelf,Availability,Negative,Convenience Buyer
CA,"Fruit tea (e.g. berry, peach)",444,Want something caffeine-free,Caffeine concerns,Negative,Curious Explorer
CA,"Origin black tea (e.g. Assam, Darjeeling)",445,Too fiddly compared to a teabag,Brewing complexity,Neutral,Wellness Seeker
US,"Fruit tea (e.g. berry, peach)",446,I drink it for wellness reasons,Health perception,Negative,Traditional Drinker
UK,Bubble tea,447,Already happy with my regular brew,Habit / preference,Positive,Curious Explorer
US,Rooibos / red tea,448,I don't think it's actually that healthy,Health perception,Neutral,Wellness Seeker
CA,Green tea (pure),449,Just doesn't taste nice,Taste / flavour,Negative,Traditional Drinker
US,Other herbal tea,450,It's too expensive for what it is,Price / value,Negative,Curious Explorer
UK,Bubble tea,451,Want something caffeine-free,Caffeine concerns,Negative,Curious Explorer
CA,Green tea flavoured (e.g. lemon),452,Can't get it easily,Availability,Negative,Convenience Buyer
UK,Green tea (pure),453,I've never really tried it,Unfamiliarity,Negative,Traditional Drinker
US,Peppermint tea,454,Flavour is too earthy,Taste / flavour,Negative,Traditional Drinker
UK,Cold brew fruit and herbal tea,455,The aftertaste puts me off,Taste / flavour,Negative,Convenience Buyer
CA,Chamomile tea,456,I avoid caffeine for health reasons,Caffeine concerns,Neutral,Traditional Drinker
UK,Cold brew green tea,457,Never been introduced to it properly,Unfamiliarity,Negative,Wellness Seeker
US,Green tea flavoured (e.g. lemon),458,I avoid caffeine for health reasons,Caffeine concerns,Negative,Functional Benefit Seeker
CA,Decaffeinated black tea,459,Not part of my routine,Habit / preference,Negative,Functional Benefit Seeker
CA,"Origin black tea (e.g. Assam, Darjeeling)",460,Not stocked where I shop,Availability,Negative,Functional Benefit Seeker
US,Instant tea powder,461,The taste is too bitter for me,Taste / flavour,Negative,Price-Conscious Rejecter
US,Other tea (e.g. white tea),462,I don't like the texture,Texture / mouthfeel,Positive,Convenience Buyer
CA,Cold brew black tea,463,Never been introduced to it properly,Unfamiliarity,Negative,Functional Benefit Seeker
UK,English Breakfast / extra-strong black tea,464,The bubbles put me off,Texture / mouthfeel,Negative,Convenience Buyer
UK,"Benefit / functional tea (sleep, detox, immunity)",465,Prefer options with proven benefits,Health perception,Negative,Functional Benefit Seeker
US,English Breakfast / extra-strong black tea,466,It's too expensive for what it is,Price / value,Negative,Curious Explorer
US,Decaffeinated black tea,467,I wouldn't know where to start with it,Unfamiliarity,Positive,Price-Conscious Rejecter
CA,"Benefit / functional tea (sleep, detox, immunity)",468,I don't like the texture,Texture / mouthfeel,Negative,Curious Explorer
US,Instant tea powder,469,Drinking hot tea is my habit,Habit / preference,Negative,Traditional Drinker
CA,"Origin black tea (e.g. Assam, Darjeeling)",470,Too watery for me,Texture / mouthfeel,Negative,Curious Explorer
CA,Cold brew black tea,471,I don't like the grassy flavour,Taste / flavour,Negative,Curious Explorer
US,Rooibos / red tea,472,I just prefer my usual tea,Habit / preference,Negative,Curious Explorer
US,"Origin black tea (e.g. Assam, Darjeeling)",473,I find it bland and watery,Taste / flavour,Negative,Curious Explorer
UK,Chai tea,474,Mouthfeel is strange,Texture / mouthfeel,Negative,Price-Conscious Rejecter
CA,Flavoured black tea (e.g. Earl Grey),475,I just prefer my usual tea,Habit / preference,Positive,Convenience Buyer
US,Flavoured black tea (e.g. Earl Grey),476,The bubbles put me off,Texture / mouthfeel,Negative,Curious Explorer
US,Matcha tea,477,I just prefer my usual tea,Habit / preference,Negative,Functional Benefit Seeker
CA,Matcha tea,478,Not convinced by the health claims,Health perception,Neutral,Wellness Seeker
UK,Cold brew fruit and herbal tea,479,The aftertaste puts me off,Taste / flavour,Neutral,Traditional Drinker
CA,Cold brew fruit and herbal tea,480,I wouldn't know where to start with it,Unfamiliarity,Negative,Functional Benefit Seeker
UK,Bubble tea,481,The taste is too bitter for me,Taste / flavour,Negative,Convenience Buyer
US,English Breakfast / extra-strong black tea,482,The bubbles put me off,Texture / mouthfeel,Negative,Traditional Drinker
US,Chamomile tea,483,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Wellness Seeker
UK,"Fruit tea (e.g. berry, peach)",484,I wouldn't know where to start with it,Unfamiliarity,Negative,Traditional Drinker
UK,Green tea decaffeinated,485,Too fiddly compared to a teabag,Brewing complexity,Neutral,Price-Conscious Rejecter
UK,Matcha tea,486,Want something caffeine-free,Caffeine concerns,Negative,Curious Explorer
US,Matcha tea,487,Takes too long to make,Brewing complexity,Negative,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",488,Mouthfeel is strange,Texture / mouthfeel,Negative,Traditional Drinker
CA,Peppermint tea,489,Tastes medicinal and unpleasant,Taste / flavour,Negative,Price-Conscious Rejecter
US,Cold brew fruit and herbal tea,490,Not familiar with how to drink it,Unfamiliarity,Negative,Curious Explorer
US,Green tea decaffeinated,491,It's too expensive for what it is,Price / value,Negative,Price-Conscious Rejecter
CA,Bubble tea,492,Premium pricing puts me off,Price / value,Neutral,Curious Explorer
CA,Other tea (e.g. white tea),493,The taste is too bitter for me,Taste / flavour,Negative,Curious Explorer
CA,Flavoured black tea (e.g. Earl Grey),494,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
CA,Cold brew fruit and herbal tea,495,Caffeine keeps me awake at night,Caffeine concerns,Negative,Price-Conscious Rejecter
CA,Other cold brew tea,496,Drinking hot tea is my habit,Habit / preference,Neutral,Functional Benefit Seeker
CA,Other cold brew tea,497,Want something caffeine-free,Caffeine concerns,Negative,Convenience Buyer
CA,Bubble tea,498,Not worth the extra cost,Price / value,Negative,Functional Benefit Seeker
UK,Chamomile tea,499,Not stocked where I shop,Availability,Neutral,Curious Explorer
UK,Instant tea powder,500,Want something caffeine-free,Caffeine concerns,Negative,Traditional Drinker
CA,"Origin black tea (e.g. Assam, Darjeeling)",501,The aftertaste puts me off,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Flavoured black tea (e.g. Earl Grey),502,Not part of my routine,Habit / preference,Positive,Curious Explorer
UK,Bubble tea,503,Takes too long to make,Brewing complexity,Neutral,Functional Benefit Seeker
UK,Lemon / ginger tea,504,Too fiddly compared to a teabag,Brewing complexity,Negative,Functional Benefit Seeker
CA,Cold brew fruit and herbal tea,505,Already happy with my regular brew,Habit / preference,Negative,Traditional Drinker
UK,"Fruit tea (e.g. berry, peach)",506,Not worth the extra cost,Price / value,Neutral,Traditional Drinker
CA,Cold brew fruit and herbal tea,507,It feels gritty,Texture / mouthfeel,Neutral,Wellness Seeker
UK,Green tea flavoured (e.g. lemon),508,Caffeine keeps me awake at night,Caffeine concerns,Neutral,Functional Benefit Seeker
US,Chai tea,509,Can't get it easily,Availability,Negative,Price-Conscious Rejecter
US,"Fruit tea (e.g. berry, peach)",510,Too fiddly compared to a teabag,Brewing complexity,Negative,Curious Explorer
UK,Flavoured black tea (e.g. Earl Grey),511,Too much effort to prepare properly,Brewing complexity,Neutral,Wellness Seeker
CA,Rooibos / red tea,512,Don't want to pay more for it,Price / value,Neutral,Wellness Seeker
US,Cold brew black tea,513,Prefer options with proven benefits,Health perception,Negative,Price-Conscious Rejecter
US,Decaffeinated black tea,514,Rarely see it on the shelf,Availability,Neutral,Price-Conscious Rejecter
UK,"Origin black tea (e.g. Assam, Darjeeling)",515,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
CA,Bubble tea,516,The taste is too bitter for me,Taste / flavour,Neutral,Curious Explorer
UK,Green tea decaffeinated,517,Already happy with my regular brew,Habit / preference,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),518,I stick to what I know,Habit / preference,Neutral,Price-Conscious Rejecter
UK,Green tea decaffeinated,519,Cheaper options do the same job,Price / value,Neutral,Wellness Seeker
US,Green tea flavoured (e.g. lemon),520,Don't want to pay more for it,Price / value,Negative,Curious Explorer
CA,Cold brew fruit and herbal tea,521,I've never really tried it,Unfamiliarity,Negative,Wellness Seeker
UK,Regular / everyday black tea,522,I'm never sure how long to brew it,Brewing complexity,Neutral,Traditional Drinker
UK,Instant tea powder,523,Can't get it easily,Availability,Neutral,Functional Benefit Seeker
US,Bubble tea,524,I find it bland and watery,Taste / flavour,Neutral,Wellness Seeker
CA,Matcha tea,525,Too strong a flavour for my liking,Taste / flavour,Neutral,Functional Benefit Seeker
CA,Other tea (e.g. white tea),526,Not convinced by the health claims,Health perception,Negative,Convenience Buyer
UK,Cold brew fruit and herbal tea,527,Tastes medicinal and unpleasant,Taste / flavour,Positive,Curious Explorer
US,"Benefit / functional tea (sleep, detox, immunity)",528,Flavour is too earthy,Taste / flavour,Positive,Price-Conscious Rejecter
UK,Flavoured black tea (e.g. Earl Grey),529,Drinking hot tea is my habit,Habit / preference,Neutral,Convenience Buyer
US,Chamomile tea,530,I stick to what I know,Habit / preference,Neutral,Traditional Drinker
UK,Other herbal tea,531,Don't know much about this type,Unfamiliarity,Neutral,Functional Benefit Seeker
US,Rooibos / red tea,532,Takes too long to make,Brewing complexity,Negative,Price-Conscious Rejecter
CA,English Breakfast / extra-strong black tea,533,Just doesn't taste nice,Taste / flavour,Negative,Convenience Buyer
UK,Cold brew green tea,534,It feels gritty,Texture / mouthfeel,Negative,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",535,Too watery for me,Texture / mouthfeel,Positive,Wellness Seeker
CA,English Breakfast / extra-strong black tea,536,Too much caffeine for the evening,Caffeine concerns,Neutral,Convenience Buyer
US,Green tea decaffeinated,537,I'm never sure how long to brew it,Brewing complexity,Negative,Traditional Drinker
CA,Decaffeinated black tea,538,Hard to find in my local shop,Availability,Negative,Functional Benefit Seeker
UK,Cold brew black tea,539,Looking for healthier alternatives,Health perception,Negative,Wellness Seeker
UK,Cold brew black tea,540,Not part of my routine,Habit / preference,Negative,Traditional Drinker
US,Peppermint tea,541,Caffeine keeps me awake at night,Caffeine concerns,Positive,Convenience Buyer
UK,Rooibos / red tea,542,The aftertaste puts me off,Taste / flavour,Neutral,Convenience Buyer
US,Green tea decaffeinated,543,Not familiar with how to drink it,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Cold brew black tea,544,Not part of my routine,Habit / preference,Negative,Wellness Seeker
UK,Instant tea powder,545,Not worth the extra cost,Price / value,Negative,Functional Benefit Seeker
CA,Green tea flavoured (e.g. lemon),546,C'est trop cher,Price / value,Negative,Curious Explorer
CA,Peppermint tea,547,I don't like the texture,Texture / mouthfeel,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),548,Too watery for me,Texture / mouthfeel,Neutral,Traditional Drinker
CA,Cold brew green tea,549,Never been introduced to it properly,Unfamiliarity,Negative,Convenience Buyer
CA,English Breakfast / extra-strong black tea,550,I don't like the grassy flavour,Taste / flavour,Negative,Wellness Seeker
US,Bubble tea,551,Hard to find in my local shop,Availability,Neutral,Convenience Buyer
UK,"Origin black tea (e.g. Assam, Darjeeling)",552,Not worth the extra cost,Price / value,Neutral,Convenience Buyer
US,Regular / everyday black tea,553,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Convenience Buyer
CA,Instant tea powder,554,Not sure of the right water temperature,Brewing complexity,Negative,Convenience Buyer
UK,Other tea (e.g. white tea),555,Not worth the extra cost,Price / value,Negative,Curious Explorer
US,Lemon / ginger tea,556,I wouldn't know where to start with it,Unfamiliarity,Negative,Convenience Buyer
CA,Green tea decaffeinated,557,Not worth the extra cost,Price / value,Negative,Functional Benefit Seeker
UK,"Fruit tea (e.g. berry, peach)",558,Never been introduced to it properly,Unfamiliarity,Negative,Price-Conscious Rejecter
CA,Decaffeinated black tea,559,Not part of my routine,Habit / preference,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),560,Want something caffeine-free,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,English Breakfast / extra-strong black tea,561,Not part of my routine,Habit / preference,Negative,Traditional Drinker
US,Instant tea powder,562,I don't think it's actually that healthy,Health perception,Negative,Wellness Seeker
